epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.238,2.69427,3.25519,2.12594,0.08765,0.06958,0.02849,0.00771,2.704,3.14727,2.3093,0.000664983,0.000664983,0.000664983
2,233.96,2.66555,2.97367,2.1197,0.12749,0.09718,0.04345,0.01172,2.74023,3.18413,2.30501,0.00130528,0.00130528,0.00130528
3,348.062,2.64608,2.95527,2.1104,0.13483,0.09437,0.04455,0.01242,2.6577,3.10603,2.27884,0.00191918,0.00191918,0.00191918
4,460.117,2.60775,2.86878,2.05811,0.10399,0.09915,0.03853,0.01085,2.84183,5.01234,2.22453,0.0018812,0.0018812,0.0018812
5,569.525,2.57186,2.82855,2.03203,0.15268,0.13606,0.06983,0.01932,2.5857,3.01253,2.04245,0.0018416,0.0018416,0.0018416
6,679.173,2.53531,2.73389,1.99806,0.17141,0.1693,0.09694,0.029,2.50852,2.90469,2.06794,0.001802,0.001802,0.001802
7,788.09,2.50115,2.68527,1.96389,0.21732,0.18873,0.12055,0.0367,2.46727,2.6135,2.1532,0.0017624,0.0017624,0.0017624
8,898.085,2.46528,2.61988,1.93978,0.1889,0.18028,0.10591,0.03198,2.45913,2.88525,2.00961,0.0017228,0.0017228,0.0017228
9,1010.04,2.44772,2.58738,1.91821,0.20897,0.20338,0.12518,0.0366,2.44427,2.72383,2.03078,0.0016832,0.0016832,0.0016832
10,1126.03,2.42411,2.56303,1.90239,0.23787,0.23155,0.14997,0.04441,2.39885,2.48592,2.00969,0.0016436,0.0016436,0.0016436
11,1241.49,2.40283,2.50827,1.88457,0.27396,0.26479,0.18542,0.05659,2.37203,2.42184,1.92194,0.001604,0.001604,0.001604
12,1351.81,2.37582,2.45868,1.86949,0.2928,0.26043,0.19842,0.06332,2.34053,2.34641,1.91736,0.0015644,0.0015644,0.0015644
13,1461.07,2.36818,2.43189,1.84631,0.28066,0.26676,0.19413,0.05941,2.36739,2.40219,1.92011,0.0015248,0.0015248,0.0015248
14,1570.86,2.3542,2.3729,1.83007,0.31593,0.27014,0.21,0.06541,2.35467,2.31463,1.96974,0.0014852,0.0014852,0.0014852
15,1680.2,2.33784,2.35112,1.82615,0.31516,0.29543,0.23445,0.07488,2.33344,2.30346,1.91101,0.0014456,0.0014456,0.0014456
16,1787.7,2.33465,2.31602,1.82163,0.3398,0.30366,0.23827,0.0769,2.32598,2.25213,1.8884,0.001406,0.001406,0.001406
17,1898.44,2.30946,2.27154,1.7854,0.33428,0.30901,0.25263,0.07928,2.30521,2.20465,1.91055,0.0013664,0.0013664,0.0013664
18,2006.96,2.30614,2.2523,1.78621,0.3706,0.32197,0.274,0.08606,2.31538,2.1879,1.90049,0.0013268,0.0013268,0.0013268
19,2114.19,2.30105,2.22422,1.78652,0.36319,0.36197,0.2958,0.09675,2.28071,2.21007,1.8698,0.0012872,0.0012872,0.0012872
20,2222.58,2.28238,2.20453,1.77513,0.36491,0.33803,0.28556,0.09162,2.28892,2.15659,1.87183,0.0012476,0.0012476,0.0012476
21,2332.64,2.27763,2.16323,1.76802,0.40843,0.37803,0.33392,0.10776,2.27652,2.08978,1.84344,0.001208,0.001208,0.001208
22,2442.22,2.26129,2.13752,1.75175,0.41339,0.35972,0.32122,0.1049,2.29037,2.07746,1.84891,0.0011684,0.0011684,0.0011684
23,2550.62,2.25983,2.1206,1.73941,0.44132,0.38169,0.34931,0.11392,2.27044,2.01843,1.83542,0.0011288,0.0011288,0.0011288
24,2659.05,2.23989,2.07723,1.72563,0.42806,0.37718,0.34355,0.11277,2.2886,2.00264,1.83668,0.0010892,0.0010892,0.0010892
25,2767.43,2.23811,2.06779,1.72815,0.45249,0.40169,0.37263,0.12222,2.2732,1.97525,1.81788,0.0010496,0.0010496,0.0010496
26,2876.8,2.22865,2.04677,1.72193,0.46113,0.40958,0.3783,0.12664,2.25074,1.96135,1.80909,0.00101,0.00101,0.00101
27,2988.82,2.21484,2.0245,1.71207,0.45095,0.39268,0.36472,0.11988,2.27331,1.98856,1.8141,0.0009704,0.0009704,0.0009704
28,3101.62,2.20934,1.99109,1.69486,0.47504,0.4093,0.37669,0.12282,2.27648,1.9484,1.80359,0.0009308,0.0009308,0.0009308
29,3212.01,2.21031,1.97908,1.68782,0.47494,0.41278,0.39517,0.12944,2.28839,1.93891,1.80951,0.0008912,0.0008912,0.0008912
30,3322.22,2.19865,1.96429,1.69508,0.47564,0.41241,0.39609,0.13395,2.27146,1.90225,1.81298,0.0008516,0.0008516,0.0008516
31,3433.1,2.19236,1.95894,1.67889,0.47825,0.42254,0.40155,0.13628,2.25044,1.92329,1.7829,0.000812,0.000812,0.000812
32,3543.46,2.17955,1.9377,1.67068,0.49748,0.42248,0.40178,0.13543,2.25935,1.89768,1.80838,0.0007724,0.0007724,0.0007724
33,3655.2,2.17276,1.90258,1.65849,0.48952,0.43634,0.41231,0.13949,2.26324,1.88845,1.81173,0.0007328,0.0007328,0.0007328
34,3766.37,2.16668,1.87822,1.64832,0.49381,0.44592,0.4234,0.1447,2.25016,1.88162,1.79037,0.0006932,0.0006932,0.0006932
35,3876.62,2.15207,1.88365,1.64804,0.4975,0.44704,0.42495,0.14521,2.23961,1.86329,1.78044,0.0006536,0.0006536,0.0006536
36,3986.93,2.15896,1.84802,1.64268,0.51584,0.45352,0.43535,0.15108,2.2476,1.82363,1.78867,0.000614,0.000614,0.000614
37,4094.82,2.14705,1.84667,1.63799,0.50489,0.45127,0.42237,0.14441,2.26045,1.8333,1.79128,0.0005744,0.0005744,0.0005744
